"kb1","kb2","en1","en2","en3","en4"
-0.5,-0.1666666666666667,2.7283792132087408,2.7283792132087408,3.1810611575024206,3.1810611575024366
-0.5,-0.1507936507936508,2.722716749415886,2.722716749415886,3.1875687956462704,3.1875687956463024
-0.5,-0.1349206349206349,2.7175947233372053,2.7175947233372053,3.1934629913595067,3.1934629913595263
-0.5,-0.11904761904761907,2.7130213872234084,2.7130213872234292,3.198731048004584,3.1987310480046047
-0.5,-0.10317460317460322,2.709004020093884,2.7090040200939054,3.20336213897847,3.203362138978491
-0.5,-0.08730158730158732,2.705548947245493,2.7055489472455143,3.20734718294682,3.20734718294682
-0.5,-0.07142857142857142,2.702661557563527,2.7026615575635446,3.2106787126585807,3.2106787126585985
-0.5,-0.05555555555555558,2.7003463185280454,2.7003463185280605,3.2133507449313425,3.2133507449313585
-0.5,-0.039682539682539736,2.698606788831108,2.6986067888311256,3.2153586591581638,3.2153586591581824
-0.5,-0.023809523809523836,2.697445628540307,2.6974456285403305,3.2166990910844353,3.2166990910844593
-0.5,-0.007936507936507936,2.696864606760713,2.69686460676073,3.21736984767337,3.2173698476733867
-0.5,0.007936507936507908,2.696864606760725,2.6968646067607414,3.2173698476733836,3.2173698476733836
-0.5,0.023809523809523725,2.6974456285403132,2.6974456285403132,3.2166990910844415,3.2166990910844415
-0.5,0.03968253968253965,2.6986067888310856,2.698606788831106,3.215358659158129,3.215358659158171
-0.5,0.05555555555555558,2.700346318528042,2.700346318528042,3.2133507449313505,3.213350744931372
-0.5,0.0714285714285714,2.702661557563527,2.702661557563557,3.2106787126585834,3.2106787126586136
-0.5,0.08730158730158721,2.705548947245516,2.705548947245516,3.207347182946813,3.2073471829468305
-0.5,0.10317460317460314,2.7090040200939067,2.7090040200939254,3.203362138978496,3.203362138978496
-0.5,0.11904761904761907,2.7130213872234057,2.7130213872234243,3.1987310480045714,3.1987310480046096
-0.5,0.13492063492063489,2.717594723337194,2.7175947233372124,3.193462991359521,3.1934629913595387
-0.5,0.1507936507936507,2.7227167494158637,2.722716749415885,3.187568795646299,3.187568795646299
-0.5,0.16666666666666663,2.728379213208729,2.7283792132087474,3.181061157502413,3.1810611575024317
-0.5,0.18253968253968256,2.7345728676620578,2.734572867662094,3.1739547545049103,3.1739547545049285
-0.5,0.19841269841269837,2.741287447452084,2.741287447452102,3.166266335304047,3.1662663353040648
-0.5,0.2142857142857142,2.748511643828016,2.748511643828016,3.1580147829658736,3.1580147829658736
-0.5,0.23015873015873012,2.7562330780165007,2.7562330780165407,3.1492211467022933,3.1492211467023132
-0.5,0.24603174603174605,2.7644382734905983,2.7644382734906197,3.1399086386038295,3.13990863860385
-0.5,0.26190476190476186,2.7731126274661957,2.7731126274661957,3.1301025935719284,3.1301025935719284
-0.5,0.2777777777777777,2.7822403820588972,2.7822403820588972,3.119830392281636,3.119830392281636
-0.5,0.2936507936507936,2.7918045956104693,2.7918045956104875,3.1091213485826863,3.1091213485826863
-0.5,0.30952380952380953,2.8017871147814235,2.8017871147814413,3.098006564181727,3.098006564181727
-0.5,0.32539682539682535,2.8121685481012912,2.8121685481012912,3.086518754656524,3.0865187546565425
-0.5,0.34126984126984117,2.822928241771607,2.8229282417716273,3.0746920517807017,3.0746920517807226
-0.5,0.3571428571428571,2.8340442586273866,2.8340442586273866,3.062561787750834,3.062561787750834
-0.5,0.373015873015873,2.845493361276446,2.845493361276463,3.0501642672005542,3.050164267200571
-0.5,0.38888888888888884,2.85725100055521,2.8572510005552294,3.0375365328765183,3.037536532876538
-0.5,0.40476190476190466,2.869291310552012,2.869291310552012,3.0247161305713304,3.0247161305713304
-0.5,0.4206349206349206,2.8815871115577294,2.8815871115577294,3.0117408784130624,3.0117408784130624
-0.5,0.4365079365079365,2.8941099223962405,2.8941099223962405,2.998648644953372,2.9986486449533896
-0.5,0.45238095238095233,2.9068299836576013,2.906829983657649,2.9854771397367883,2.9854771397368363
-0.5,0.46825396825396814,2.919716293396476,2.919716293396501,2.9722637192291472,2.9722637192291472
-0.5,0.4841269841269841,2.932736656852738,2.932736656852758,2.959045210178938,2.9590452101789584
-0.5,0.5,2.9458577516864564,2.945857751686477,2.9458577517344544,2.9458577517344944
-0.4841269841269842,-0.5,2.9327366568527666,2.9327366568527666,2.9590452101789544,2.9590452101789766
-0.4841269841269842,-0.4841269841269842,2.927312482029069,2.9273124820290906,2.964536257277925,2.964536257277947
-0.4841269841269842,-0.46825396825396826,2.916618928099528,2.916618928099528,2.9754294785650752,2.975429478565096
-0.4841269841269842,-0.45238095238095233,2.904687736183552,2.904687736183552,2.9876903034223457,2.9876903034223457
-0.4841269841269842,-0.4365079365079365,2.892468427940558,2.8924684279405803,3.000364557047568,3.00036455704759
-0.4841269841269842,-0.4206349206349207,2.8802486988387814,2.8802486988387814,3.013158159837811,3.013158159837811
-0.4841269841269842,-0.40476190476190477,2.868153636628576,2.8681536366285956,3.0259380358539882,3.0259380358539882
-0.4841269841269842,-0.38888888888888884,2.856254622789329,2.856254622789329,3.0386233698023006,3.0386233698023006
