"time","(a)up","(a)dn","(b)up","(b)dn","(c)Rs","(c)Rc","(d)up","(d)dn","(e)up","(e)dn","(f)Rs","(f)Rc","(g)up","(g)dn","(h)up","(h)dn","(i)Rs","(i)Rc"
0.018648719936709707,1.838351483414409,1.838351483414409,1.838351483414409,-1.838351483414409,1.2943788674285253,1.2943788674285253,1.5943711576428237,1.5943437043654547,0.984986298741867,0.9570848814131934,0.9778305890417809,0.9796030981640201,-0.0010275162346615662,0.002625206715624961,-0.0017687328300973332,0.00039606840681906717,-0.001336469732554582,-0.0013510584632887392
0.018734658738261366,1.8447390521158622,1.8447390521158622,1.8447390521158622,-1.8447390521158622,1.2988763392210538,1.2988763392210538,1.6025196475994385,1.6024944971061277,0.9896460708511412,0.9636262052348035,0.9828433042187492,0.9846242302331102,-0.0010382193978242921,0.0025761946140163907,-0.0017539985548730716,0.00033173747711006296,-0.00133561936505126,-0.001351454542146655
0.018820597539813022,1.8510061674973766,1.8510061674973766,1.8510061674973766,-1.8510061674973766,1.3032890001201007,1.3032890001201007,1.6106095051312013,1.6105638067186063,0.9944114167525967,0.9693856453002234,0.9878239925503153,0.9895831871326438,-0.0010526941669989796,0.0025311131876569956,-0.0017601820614795698,0.0003800596291875137,-0.001338572239073864,-0.0013472544411627352
0.01890653634136468,1.8571563723036564,1.8571563723036564,1.8571563723036564,-1.8571563723036564,1.307619344563711,1.307619344563711,1.618631873376351,1.6185916662180477,0.999506592186002,0.9735820264022041,0.9927590528983876,0.9945079565457828,-0.0010686712370654315,0.0024945963466197095,-0.0017855291598766027,0.00042057321766270577,-0.0013443930859700424,-0.0013601603058452218
0.01899247514291634,1.8631861237899972,1.8631861237899972,1.8631861237899972,-1.8631861237899972,1.3118648781138402,1.3118648781138402,1.6265883465700053,1.626562310390518,1.0047096441956465,0.9772374303878719,0.9976525019040854,0.9994134180002847,-0.0010810109711442064,0.002452272947012439,-0.0017895980021692367,0.0004453430258102094,-0.0013461575953463392,-0.001358736831023123
0.019078413944467996,1.8690936505840476,1.8690936505840476,1.8690936505840476,-1.8690936505840476,1.3160243535514669,1.3160243535514669,1.6344849473781602,1.6344472201411495,1.0096294537661998,0.9817753320793257,1.0025140605275582,1.0042568814224653,-0.0010945844660661763,0.0024053280369386986,-0.0017783905292978856,0.0004173707535874543,-0.0013480245653413182,-0.0013548731136488554
0.019164352746019655,1.8748824954305117,1.8748824954305117,1.8748824954305117,-1.8748824954305117,1.3201002653146345,1.3201002653146345,1.6423154759975844,1.642271726094577,1.0142141196877474,0.9875057216381722,1.007334480607139,1.0090599575550194,-0.001110370936467549,0.0023648574928116614,-0.0017709422628320313,0.0003045449629966754,-0.0013529287968370505,-0.001370414603253941
0.01925029154757131,1.8805473442123326,1.8805473442123326,1.8805473442123326,-1.8805473442123326,1.3240888717462775,1.3240888717462775,1.650076035409103,1.6500400795444443,1.0187824889836563,0.9931762388115198,1.0121097994359933,1.0138414229448784,-0.0011236707543611291,0.002323354238603385,-0.001748378344674522,0.0002253079349452621,-0.001355627889334909,-0.0013675254949477651
0.01933623034912297,1.8860881969295111,1.8860881969295111,1.8860881969295111,-1.8860881969295111,1.3279901728463963,1.3279901728463963,1.657771762592537,1.6577310240225278,1.023553149002168,0.9976842043102241,1.0168472781481532,1.0185642559098853,-0.0011361816030091107,0.0022742234550472283,-0.0017489313671228287,0.0002684615767739332,-0.0013562168289424045,-0.00135988078328807
0.01942216915067463,1.8915068249543987,1.8915068249543987,1.8915068249543987,-1.8915068249543987,1.3318054158340122,1.3318054158340122,1.665400709038299,1.6653564277235855,1.0284306227735078,1.0015319793333235,1.0215443716723316,1.0232456387618543,-0.0011504680753027766,0.0022277107598273854,-0.0017898548511602825,0.00035303822964333323,-0.0013587446347205882,-0.0013767862296042257
