"omega","sc_xx_re","sc_xx_im","cs_xx_re","cs_xx_im","sc_xy_re","sc_xy_im","cs_yx_re","cs_yx_im"
-1.675,0.003651283932667076,-0.02385620645304785,0.0036512839326670278,-0.023856206453047868,0.01760654953054967,0.0025884897556639414,-0.017606549530549666,-0.002588489755663903
-1.65,0.003999532844649689,-0.024735644941297142,0.003999532844649722,-0.024735644941297145,0.018220722304509662,0.0029273815264719383,-0.01822072230450964,-0.002927381526471923
-1.625,0.004406967143651574,-0.025690857918751753,0.004406967143651555,-0.025690857918751715,0.018908224910442428,0.003324264387253533,-0.018908224910442424,-0.0033242643872535295
-1.6,0.004887784549118271,-0.026732411477072116,0.004887784549118277,-0.026732411477072077,0.019679327023238893,0.003793301554521851,-0.019679327023238862,-0.0037933015545218423
-1.575,0.005460611960504382,-0.027872541795499854,0.00546061196050438,-0.027872541795499868,0.020545959574089296,0.004353080547386101,-0.0205459595740893,-0.004353080547386088
-1.55,0.006150204581057442,-0.029125268709622457,0.0061502045810574585,-0.02912526870962245,0.021521827122620654,0.0050283119951743125,-0.021521827122620643,-0.005028311995174312
-1.525,0.00698991117225531,-0.03050631498692819,0.0069899111722553425,-0.030506314986928202,0.022622325857585175,0.005852294528165888,-0.022622325857585175,-0.005852294528165922
-1.5,0.008025289526767662,-0.0320325747140755,0.008025289526767681,-0.032032574714075536,0.02386401061963799,0.006870529834038812,-0.023864010619638,-0.00687052983403883
-1.475,0.009319448287709427,-0.033720600045536286,0.009319448287709465,-0.033720600045536286,0.02526308018323318,0.008146064001637171,-0.025263080183233196,-0.008146064001637195
-1.45,0.010960943754547547,-0.035583009763965834,0.010960943754547566,-0.03558300976396589,0.026831784233909136,0.009767383785221032,-0.026831784233909202,-0.009767383785220992
-1.425,0.013075294774811997,-0.037620551736801185,0.013075294774812004,-0.037620551736801164,0.028570484109693754,0.011859930879942289,-0.028570484109693758,-0.011859930879942282
-1.4,0.015841025850004454,-0.039805146392776596,0.015841025850004457,-0.03980514639277663,0.030450694412585858,0.014602144327119166,-0.030450694412585834,-0.014602144327119143
-1.375,0.01950928149154655,-0.04204448222306278,0.019509281491546574,-0.04204448222306275,0.03237967647480649,0.018245074073670615,-0.03237967647480645,-0.018245074073670556
-1.35,0.02441827371078372,-0.044110358194615756,0.0244182737107836,-0.04411035819461574,0.03412877854473561,0.023126827556289246,-0.03412877854473562,-0.02312682755628916
-1.325,0.030968545710272095,-0.04550333433074216,0.030968545710272015,-0.04550333433074214,0.03519808392178196,0.029647832361828563,-0.03519808392178201,-0.029647832361828518
-1.3,0.03945892232203268,-0.045239912349052155,0.03945892232203262,-0.04523991234905207,0.034603588900991196,0.03810678549108625,-0.03460358890099116,-0.03810678549108621
-1.275,0.0495759201541416,-0.04168742077030856,0.04957592015414157,-0.041687420770308466,0.030712084907325028,0.04819006216557458,-0.030712084907325018,-0.048190062165574525
-1.25,0.059435113174265836,-0.03302032177588965,0.059435113174265836,-0.033020321775889455,0.021697462058823638,0.058013079880190666,-0.021697462058823603,-0.05801307988019068
-1.225,0.06519976673160449,-0.019156286903462827,0.06519976673160459,-0.019156286903462966,0.0074767812039688705,0.06373893067284991,-0.007476781203969009,-0.0637389306728501
-1.2,0.0636132858811443,-0.003746933909152132,0.06361328588114437,-0.0037469339091522275,-0.008298993289541616,0.06211082743892831,0.008298993289541699,-0.06211082743892851
-1.175,0.055683091533236626,0.008122415251737094,0.05568309153323673,0.008122415251737077,-0.020545240101608006,0.05413597777061278,0.02054524010160805,-0.05413597777061286
-1.15,0.04543372194065252,0.014417866960719873,0.045433721940652504,0.014417866960719878,-0.027228818585917268,0.04383868278210268,0.027228818585917195,-0.04383868278210265
-1.125,0.035976158601794005,0.016282359876881893,0.03597615860179397,0.016282359876881855,-0.029493478423203576,0.03432965993800774,0.029493478423203545,-0.034329659938007705
-1.1,0.028407396384379852,0.015597847849813233,0.028407396384379877,0.015597847849813306,-0.029222048961942148,0.02670560961555264,0.029222048961942356,-0.026705609615552694
-1.075,0.02268935668450415,0.013722471509550142,0.02268935668450411,0.013722471509550064,-0.027773618059996213,0.02092812412658897,0.02777361805999619,-0.020928124126588867
-1.05,0.01844458423165075,0.01140649046271438,0.01844458423165076,0.011406490462714464,-0.02589947248392196,0.01661937970236148,0.02589947248392211,-0.01661937970236144
-1.025,0.015290799665983519,0.009012865407079261,0.01529079966598351,0.009012865407079356,-0.023963689328180646,0.013396683436510837,0.023963689328180597,-0.013396683436510855
-1.,0.012927510577385974,0.006699748496252199,0.012927510577385974,0.006699748496252194,-0.02212563696298118,0.010959077716074411,0.022125636962981154,-0.01095907771607442
-0.975,0.01113715990484964,0.004525409935412862,0.011137159904849623,0.004525409935412778,-0.02044491370122929,0.00908848084328186,0.020444913701229302,-0.009088480843281807
-0.95,0.009766446880035829,0.002501780710399715,0.009766446880035853,0.002501780710399749,-0.018934904335634682,0.007630998790820618,0.018934904335634682,-0.0076309987908206225
-0.925,0.008707830636696886,0.0006204906960192717,0.008707830636696867,0.0006204906960192943,-0.01758883408809196,0.0064784179138467814,0.017588834088091965,-0.006478417913846788
-0.9,0.007885463375432554,-0.0011347879445561784,0.007885463375432538,-0.0011347879445561615,-0.016392130237067763,0.005554125137104425,0.016392130237067763,-0.005554125137104419
-0.875,0.00724534995056697,-0.0027826422499812823,0.007245349950566948,-0.002782642249981187,-0.015328141666326308,0.004803252020006512,0.015328141666326331,-0.004803252020006485
-0.85,0.006748663157602679,-0.004341413351490186,0.006748663157602672,-0.004341413351490197,-0.014380668333636172,0.004185971394998908,0.014380668333636121,-0.004185971394998863
-0.825,0.00636723615794576,-0.005828214636402759,0.00636723615794574,-0.00582821463640281,-0.013534971401596157,0.0036729672787417377,0.013534971401596154,-0.0036729672787417095
-0.8,0.006080516017203947,-0.007258665845989667,0.0060805160172039616,-0.00725866584598965,-0.012778072111686242,0.00324236109495953,0.012778072111686238,-0.0032423610949595693
-0.775,0.005873492297319861,-0.008646952829408089,0.005873492297319844,-0.008646952829408161,-0.012098730580189253,0.0028776069495597377,0.012098730580189287,-0.00287760694955972
-0.75,0.005735280026962852,-0.010006025409303735,0.00573528002696286,-0.01000602540930378,-0.011487293154550673,0.002566033737097019,0.0114872931545507,-0.002566033737097017
-0.725,0.005658147520058346,-0.011347845079954292,0.005658147520058364,-0.011347845079954382,-0.010935497941743077,0.002297822544029014,0.01093549794174309,-0.0022978225440290125
-0.7,0.005636852454928612,-0.012683643136049007,0.0056368524549285995,-0.012683643136048939,-0.010436279535660262,0.0020652801423898712,0.010436279535660288,-0.0020652801423898604
-0.675,0.005668197373346933,-0.014024173950665091,0.005668197373346924,-0.014024173950665107,-0.009983590208512768,0.0018623162854017636,0.009983590208512763,-0.0018623162854017614
-0.65,0.00575074737930358,-0.01537996000965985,0.005750747379303579,-0.015379960009659776,-0.009572243379013357,0.0016840630091688184,0.00957224337901338,-0.0016840630091688109
-0.625,0.005884674317044669,-0.01676153116277271,0.0058846743170446825,-0.016761531162772594,-0.00919777984336614,0.0015265940961103704,0.009197779843366158,-0.0015265940961103957
